City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Hornepayne,CA,2021-04-14 23:34:49,49.2138,-84.7705,34.72,95,100,9.89
275,Saint-Philippe,RE,2021-04-14 23:38:35,-21.3585,55.7679,77.0,78,90,6.91
276,Sayansk,RU,2021-04-14 23:34:49,54.1088,102.1648,30.85,95,100,10.69
277,Mamou,GN,2021-04-14 23:34:49,10.5,-12.0,72.79,83,100,5.97
278,Entebbe,UG,2021-04-14 23:34:50,0.0644,32.4469,73.4,83,20,11.5
279,Huarmey,PE,2021-04-14 23:31:42,-10.0681,-78.1522,68.49,83,63,6.51
280,Kavieng,PG,2021-04-14 23:38:36,-2.5744,150.7967,84.0,66,43,6.11
281,Nadadores,MX,2021-04-14 23:34:50,27.05,-101.6,91.4,40,40,5.75
282,Cabo San Lucas,MX,2021-04-14 23:33:48,22.8909,-109.9124,86.0,19,1,9.22
283,Airai,TL,2021-04-14 23:28:44,-8.9266,125.4092,60.57,63,42,1.92
284,San Cristobal,VE,2021-04-14 23:38:36,7.7669,-72.225,82.4,74,40,4.61
285,Touros,BR,2021-04-14 23:38:36,-5.1989,-35.4608,78.8,89,0,4.61
286,Novaya Lyalya,RU,2021-04-14 23:34:51,59.055,60.599,43.83,96,11,7.63
287,Hambantota,LK,2021-04-14 23:34:51,6.1241,81.1185,79.11,81,100,5.59
288,Havre-Saint-Pierre,CA,2021-04-14 23:31:43,50.2334,-63.5986,37.4,81,1,4.61
289,The Valley,AI,2021-04-14 23:38:37,18.217,-63.0578,80.6,78,20,9.22
290,Anshun,CN,2021-04-14 23:34:51,26.25,105.9333,54.14,92,100,2.28
291,San Quintin,MX,2021-04-14 23:34:51,30.4833,-115.95,54.0,13,89,3.0
